,NodeID,Repository,About_Topics,OwnerName,OwnerType,StarsNorm,ForkNorm,WatcherNorm
469,470,AIL-framework,"AIL framework - Analysis Information Leak framework || ail-framework,information-leak,information-security,analysis,data-mining,security,security-incidents,leak,privacy",CIRCL,Organization,0.370506861829918,0.41477110498676,0.418845310729167
470,471,aimet,"AIMET is a library that provides advanced quantization and compression techniques for trained neural network models. || quantization,deep-learning,compression,open-source,machine-learning,pruning,auto-ml,network-compression,deep-neural-networks,network-quantization,opensource",Qualcomm,Organization,0.332223814172601,0.386938920385225,0.338645289216042
473,474,practicalAI-cn,"AI实战-practicalAI 中文版 || machine-learning,jupyter-notebook,pytorch,google-colab-notebook,deep-learning",MLEveryday,Organization,0.419449241809387,0.449670281590977,0.478879590859107
475,476,EconML,"ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its  goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal inference problems. To date, the ALICE Python SDK (econml) implements orthogonal machine learning algorithms such as the double machine learning work of Chernozhukov et al. This toolkit is designed to measure the causal effect of some treatment variable(s) t on an outcome variable y, controlling for a set of features x. || machine-learning,economics,causal-inference,causality,econometrics,treatment-effects",Microsoft,Organization,0.3905386649558,0.42100218455454,0.370580397359013
479,480,catalyst,"Accelerated deep learning R&D || deep-learning,reinforcement-learning,machine-learning,computer-vision,pytorch,python,distributed-computing,infrastructure,research,reproducibility,image-processing,image-classification,image-segmentation,object-detection,natural-language-processing,text-classification,text-segmentation,information-retrieval,recommender-system,metric-learning",Catalyst,Organization,0.471827316157803,0.423884855639422,0.360646634646556
483,484,accounts.susi.ai,Accounts Service for SUSI.AI http://accounts.susi.ai || ,FOSSASIA,Organization,0.387590799032929,0.387879109222097,0.332626469896946
484,485,admin.susi.ai,Admin UI for SUSI AI http://admin.susi.ai || ,FOSSASIA,Organization,0.385317322976336,0.374003255154645,0.319537702493555
485,486,AdvBox,"Advbox is a toolbox to generate adversarial examples that fool neural networks in PaddlePaddle、PyTorch、Caffe2、MxNet、Keras、TensorFlow and Advbox can benchmark the robustness of machine learning models.  Advbox give a command line tool to generate adversarial examples with Zero-Coding. || adversarial-examples,paddlepaddle,machine-learning,security,deep-learning,adversarial-example,onnx,graphpipe,fgsm,adversarial-attacks,deepfool",AdvBox,Organization,0.369451276993044,0.410469709026778,0.375580310396562
486,487,adversarial-robustness-toolbox,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams || python,attack,adversarial-machine-learning,poisoning,trusted-ai,artificial-intelligence,extraction,adversarial-attacks,adversarial-examples,evasion,inference,privacy,ai,trustworthy-ai,red-team,blue-team",IBM,Organization,0.450046180883296,0.476973708461956,0.414979668445986
488,489,AiLearning,"AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP || fp-growth,apriori,mahchine-leaning,naivebayes,svm,adaboost,kmeans,svd,pca,logistic,regression,recommendedsystem,sklearn,scikit-learn,nlp,deeplearning,python,dnn,lstm,rnn",Apache China,Organization,0.999998822298723,0.999931860923012,0.999999777129218
489,490,aim,"Aim — a super-easy way to record, search and compare 1000s of ML training runs || machine-learning,training-tracking,experiment-tracking,mlops,pytorch,tensorflow,keras,pytorch-lightning,nlp,reinforcement-learning",Aimstack.io,Organization,0.382181070572045,0.384904125798473,0.336232706257162
491,492,aind,AinD: Android in Docker. Ain't an emulator. || ,AinD,Organization,0.382514351277034,0.383653514261347,0.335028931633978
495,496,airbyte,"Airbyte is an open-source EL(T) platform that helps you replicate your data in your warehouses, lakes and databases. || connectors,replications,data,integration,pipeline,data-science,open-source,airbyte,pipelines,data-transfers,incremental-updates,etl,elt,data-analysis,data-integration,data-ingestion",Airbyte,Organization,0.509028223041713,0.424205406954283,0.391970832135738
